epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,3325.82,0.5881,0.3795,0.9734,0.99164,0.9719,0.97575,0.80905,0.6898,0.33852,1.06524,0.000569531,0.000569531,0.000569531
135,3352.54,0.58094,0.38686,0.96994,0.97738,0.97456,0.97856,0.82851,0.70201,0.32999,1.08228,0.000561279,0.000561279,0.000561279
136,3375.4,0.60827,0.39287,0.98814,0.99726,0.96188,0.9837,0.8348,0.69394,0.33968,1.07116,0.000553027,0.000553027,0.000553027
137,3401.82,0.5904,0.39497,0.97618,0.99065,0.95789,0.98739,0.81868,0.71919,0.36142,1.09576,0.000544776,0.000544776,0.000544776
138,3425.78,0.56569,0.37675,0.97304,0.98569,0.96316,0.9862,0.83233,0.69536,0.35903,1.08149,0.000536524,0.000536524,0.000536524
139,3449.51,0.58371,0.39134,0.98084,0.99584,0.96137,0.97696,0.83079,0.71979,0.35381,1.10992,0.000528272,0.000528272,0.000528272
140,3473.9,0.59102,0.3884,0.97552,0.99553,0.96108,0.98027,0.83468,0.70614,0.34097,1.09092,0.000520021,0.000520021,0.000520021
141,3499.35,0.58666,0.38106,0.98354,0.9768,0.97348,0.98567,0.83895,0.70514,0.3355,1.09772,0.000511769,0.000511769,0.000511769
142,3525.71,0.57476,0.38521,0.98421,0.997,0.96316,0.98622,0.8318,0.70354,0.32108,1.09302,0.000503517,0.000503517,0.000503517
143,3549.33,0.58526,0.38546,0.97888,0.98372,0.97371,0.98621,0.81637,0.73773,0.31437,1.1257,0.000495266,0.000495266,0.000495266
144,3574.29,0.57086,0.37875,0.9755,0.99356,0.97895,0.98007,0.81752,0.70618,0.33427,1.08276,0.000487014,0.000487014,0.000487014
145,3599.46,0.57458,0.38096,0.97798,0.98479,0.96842,0.98371,0.8101,0.71599,0.32019,1.09047,0.000478762,0.000478762,0.000478762
146,3623.28,0.56445,0.38622,0.95996,0.99918,0.96842,0.98701,0.83483,0.68266,0.31333,1.07347,0.000470511,0.000470511,0.000470511
147,3646.72,0.55169,0.36578,0.96835,0.99695,0.96842,0.98535,0.82791,0.68408,0.314,1.07208,0.000462259,0.000462259,0.000462259
148,3671.53,0.56215,0.36757,0.96636,0.99845,0.96714,0.98723,0.81587,0.71341,0.3296,1.10751,0.000454007,0.000454007,0.000454007
149,3700.37,0.55068,0.35785,0.96777,0.9854,0.97878,0.98804,0.82727,0.7021,0.31024,1.11702,0.000445756,0.000445756,0.000445756
150,3724.09,0.52896,0.35738,0.94987,0.99655,0.96482,0.98821,0.83584,0.6935,0.31444,1.09394,0.000437504,0.000437504,0.000437504
151,3748.09,0.53414,0.35143,0.95575,0.9972,0.96842,0.98836,0.82293,0.70105,0.32254,1.09205,0.000429253,0.000429253,0.000429253
152,3773.68,0.56729,0.36583,0.96523,0.99204,0.95789,0.9851,0.82459,0.70567,0.32688,1.11842,0.000421001,0.000421001,0.000421001
153,3797.38,0.54801,0.36071,0.96517,0.97973,0.97246,0.98217,0.8098,0.71674,0.33474,1.11758,0.000412749,0.000412749,0.000412749
154,3821.19,0.53955,0.36032,0.96864,0.99453,0.97368,0.98655,0.82548,0.6995,0.31611,1.08874,0.000404498,0.000404498,0.000404498
155,3845.33,0.55569,0.35711,0.96464,0.99198,0.97368,0.98243,0.82855,0.70568,0.30553,1.10921,0.000396246,0.000396246,0.000396246
156,3874.91,0.53002,0.34452,0.94647,0.979,0.97368,0.98151,0.82652,0.69484,0.31077,1.09456,0.000387994,0.000387994,0.000387994
157,3898.44,0.52597,0.34039,0.9501,0.99234,0.96842,0.98297,0.83351,0.6952,0.31451,1.08809,0.000379743,0.000379743,0.000379743
158,3921.71,0.55017,0.35244,0.95957,0.98207,0.97368,0.98673,0.84487,0.68423,0.29703,1.0889,0.000371491,0.000371491,0.000371491
159,3947.51,0.52226,0.35084,0.95695,0.99265,0.9583,0.98353,0.82785,0.68919,0.29669,1.08831,0.000363239,0.000363239,0.000363239
160,3970.94,0.54647,0.36551,0.96445,0.98158,0.96842,0.98569,0.81926,0.69266,0.30326,1.10238,0.000354988,0.000354988,0.000354988
161,3994.53,0.5319,0.34743,0.95499,0.97725,0.97256,0.98283,0.81779,0.69267,0.3045,1.10318,0.000346736,0.000346736,0.000346736
162,4018.88,0.52095,0.34442,0.95739,0.98984,0.97368,0.98236,0.81498,0.69287,0.29664,1.10282,0.000338484,0.000338484,0.000338484
163,4048.13,0.50273,0.33408,0.93757,0.99277,0.96271,0.978,0.80593,0.72171,0.3055,1.12751,0.000330233,0.000330233,0.000330233
164,4071.3,0.5129,0.34045,0.94289,0.98556,0.96917,0.98295,0.82356,0.70357,0.3046,1.12195,0.000321981,0.000321981,0.000321981
165,4094.65,0.50688,0.3287,0.93915,0.99091,0.97895,0.98426,0.8285,0.67571,0.31134,1.10113,0.000313729,0.000313729,0.000313729
166,4120.41,0.4962,0.33253,0.94136,0.98896,0.96842,0.98377,0.82893,0.72123,0.3193,1.12485,0.000305478,0.000305478,0.000305478
167,4144.35,0.50145,0.32152,0.94371,0.9886,0.96842,0.98022,0.8267,0.69886,0.29622,1.11189,0.000297226,0.000297226,0.000297226
168,4167.93,0.51424,0.33989,0.95223,0.99245,0.9616,0.97572,0.82265,0.68851,0.30766,1.09443,0.000288974,0.000288974,0.000288974
169,4191.5,0.49824,0.32928,0.94109,0.99301,0.97351,0.98149,0.8223,0.69317,0.30413,1.1194,0.000280723,0.000280723,0.000280723
170,4220.79,0.48219,0.31407,0.92986,0.98459,0.97277,0.98105,0.82439,0.72074,0.30691,1.13919,0.000272471,0.000272471,0.000272471
171,4243.89,0.49237,0.31776,0.94011,0.99497,0.97368,0.97644,0.83077,0.69821,0.31307,1.1097,0.00026422,0.00026422,0.00026422
172,4267.4,0.49731,0.3246,0.94974,0.99218,0.96842,0.98002,0.82844,0.6854,0.32163,1.09991,0.000255968,0.000255968,0.000255968
173,4292.99,0.49422,0.32543,0.94396,0.98481,0.97368,0.97294,0.83146,0.67581,0.32105,1.09632,0.000247716,0.000247716,0.000247716
174,4318.1,0.49426,0.3273,0.93559,0.99126,0.9703,0.97638,0.83242,0.67011,0.3263,1.09081,0.000239465,0.000239465,0.000239465
175,4341.44,0.48203,0.32222,0.94376,0.98811,0.96316,0.97686,0.82404,0.67381,0.31926,1.08919,0.000231213,0.000231213,0.000231213
176,4365.92,0.48915,0.31566,0.94072,0.97679,0.97702,0.98567,0.83817,0.68327,0.31604,1.08967,0.000222961,0.000222961,0.000222961
177,4393.21,0.46188,0.29868,0.9309,0.98892,0.97895,0.98618,0.82897,0.68628,0.32202,1.10432,0.00021471,0.00021471,0.00021471
